rank,name,url,region,score,hero_headline,hero_cta_text,services_count,services_list,sections_count,sections_list,trust_signals,has_click_to_call,has_contact_form,has_live_chat,has_reviews,has_gallery,has_faq,has_blog,load_time_ms,mobile_friendly,best_features,notes
1,King Electricians,https://kingelectricians.co.uk,London,95,Emergency Electricians in London,"<img src=""https://kingelectricians.co.uk/wp-conten",47,Home; Emergency Electricians; General Electrical Services; Electric Underfloor Heating Repairs; Security Light Installation & Repair,10,classic-theme-styles-inline-css; global-styles-inline-css; cmplz-general-css; grw-public-main-css-css; parent-style-css,Reviews; Guarantee; Certification; Experience,Y,Y,Y,Y,Y,N,Y,854,Y,Click-to-call; Contact form; Reviews display; Clear services; Fast load time,
2,London Electricians 24/7,https://www.london-electricians-247.co.uk,London,95,NICEIC Registered Local Electricians in London,SEND,162,Electrical Services; Storage Heater Repair; Water Heater Repair; Elson Coral Water Heater Repair; Heatrae Sadia Electric Bolier Repair,10,googlefont; wp-block-library; google_business_reviews_rating_wp_css; fontawesome; omsc-shortcodes,Reviews; Guarantee; Experience,Y,Y,Y,Y,Y,N,N,4680,Y,Click-to-call; Contact form; Reviews display; Clear services,
3,Daddy Electrician,https://www.daddyelectrician.com,London,90,Daddy Electrician,Call Now,47,Professional Electrical Services; Contact us; Electrician arrives; Sit back and relax; Electrical Installations,10,relative; max-w-7xl; mx-auto; px-6; text-center,Reviews; Testimonials; Insurance; Certification; Experience,Y,N,N,Y,Y,Y,N,219,Y,Click-to-call; Reviews display; Clear services; Fast load time,
4,NICEIC Electrician,https://www.niceicelectricians.co.uk,UK,85,Trusted Electrician in North London,,99,Contact Us; About Us; Where We Work; Emergency Electrician Harrow; Emergency Electrician Barnet,10,Head; MetaDescription; MetaKeywords; MetaRobots; ContentBuilder-PageGlobalCSS,Reviews; Guarantee; Insurance; Certification; Experience,Y,Y,N,Y,Y,Y,Y,405,Y,Click-to-call; Contact form; Reviews display; Clear services; Fast load time,
5,Electricians London 247,https://electricianslondon247.co.uk,London,85,"Emergency Electrician London – 24/7, 1-Hour Response",,83,"About Us 

	Careers
	FAQ; Careers; FAQ; Emergency Electrician; Photo & Video Electrical Assessment",10,wp-img-auto-sizes-contain-inline-css; ht_ctc_main_css-css; hfe-widgets-style-css; wp-emoji-styles-inline-css; classic-theme-styles-inline-css,Reviews; Insurance; Certification; Experience,Y,Y,Y,Y,Y,Y,Y,315,Y,Click-to-call; Contact form; Reviews display; Clear services; Fast load time,
6,JP Electrical Wiring,https://www.jpelectricalwiring.com,UK,85,"Ready When You Need Us,Day or Night",Close,26,Home; About Us; Services; Gallery; Contact Us,10,wp-img-auto-sizes-contain-inline-css; global-styles-inline-css; jquery-core-js; cookie-law-info-js-extra; Layer_1,Reviews; Certification; Experience,Y,N,N,Y,Y,N,N,924,Y,Click-to-call; Reviews display; Clear services; Fast load time,
7,Lambeth Electricians,https://lambeth-electricians.co.uk,Lambeth,75,"Leading Electricians In Lambeth, SE11",Menu,32,Home; Emergency; Plumbers; Electrical Repairs; Fuse Box Replacement,10,style-css; mainnav; navbar-collapse; collapse; slider,Guarantee; Experience,Y,N,N,N,Y,N,Y,96,Y,Click-to-call; Clear services; Fast load time,
8,Northcote Plumbing & Electrical,https://northcoteplumbingandelectrical.co.uk,London,70,24 Hour Emergency Plumbing and Electrical Services London,,21,About Us; Electrical Work; Plumbing; Central Heating; Gas,10,website-schema; wp-img-auto-sizes-contain-inline-css; wp-emoji-styles-inline-css; classic-theme-styles-inline-css; global-styles-inline-css,Reviews; Testimonials; Experience,Y,N,Y,Y,Y,N,Y,438,Y,Click-to-call; Reviews display; Clear services; Fast load time,
9,SW Electricians,https://www.swelectricians.com,London,70,"We are professional
certified electricians in London",,52,Home; Emergency electricians; House rewire; Switches and sockets; Fuse box replacement,10,preloader; header-section-main; header-logo; dark-blue-shadow; main-menu,Reviews; Certification,N,Y,N,Y,Y,N,N,283,Y,Contact form; Reviews display; Clear services; Fast load time,
10,My Electrical Hero,https://www.myelectricalhero.co.uk,London,0,,,0,,0,,,N,N,N,N,N,N,N,0,Unknown,,Error: Request failed with status code 403
